sample_id,trial,date,time,mass_pre,mass_post,d1_pre,d2_pre,ignition_delay,flame_duration,flame_height,d1_post,d2_post,vol_burned,max_temp,length,self_ignition,self_ig_start_time,notes
DCK03,b,08/12/2025,19:14:00,179.8,114.1,152.1,149.2,7,79,27,154,143.2,30,182,96,0,,
DCK05,nb,08/12/2025,19:10:00,186.3,162.3,151.8,142.8,18,12,10,138.1,123,3,138.1,101,0,,
DCK06,b,08/12/2025,19:33:00,205.2,136.4,152.2,149.9,8,22,33,166.4,160.1,5,166.4,91,0,,
DCK08,nb,08/12/2025,19:38:00,183.2,157.5,150,140.9,4,22,35,160.8,155,10,160.8,102,0,,
DCK12,nb,08/12/2025,19:25:00,238.1,122.8,146,144.1,10,140,23,178.2,167.7,70,199.2,84,0,,
DCK16,b,08/12/2025,19:42:00,223.1,158.7,149.6,144.8,1,31,27,185,158.9,35,213,105,0,,
DCK01,b,08/12/2025,18:51:00,262.6,116.3,146.4,144.4,1,114,48,197.3,199.8,95,338.7,88,0,,
DCK07,nb,08/12/2025,18:47:00,114.3,90.9,146,147.6,2,28,22,150.3,156.3,50,169,92,0,,
DCK11,b,08/12/2025,18:41:00,295.8,228.1,143.5,152,14,16,7,123.1,139.2,3,139.2,108,0,,
DCK04,nb,08/12/2025,18:12:00,273.3,216.2,141.2,143.1,8,1,3,131.2,130.8,2,131.2,123,0,,
DCK02,b,08/12/2025,18:17:00,274.9,216.4,151.6,144.7,10,1,3,144.2,129.7,2,149.2,95,0,,
DCK10,nb,08/12/2025,18:23:00,288.6,238.4,152.7,143.2,3,11,5,142.2,136.6,5,142.2,92,0,,
DCK09,b,08/12/2025,19:04:00,191.2,131.3,155,148.3,10,56,13,160.7,140.6,5,173.5,98,0,,
DCK15,nb,08/12/2025,18:59:00,171,142.3,147.4,141.6,2,16,16,149.4,132.4,15,149.9,86,0,,
DCK13,b,08/12/2025,18:27:00,300.8,228.7,141.4,149,14,28,13,134.6,128.5,5,134.6,96,0,,
DCK14,nb,08/12/2025,18:34:00,279,205.4,152.9,151.8,26,28,17,139.5,125.5,10,139.5,99,0,,
DCK17,b,08/13/2025,17:02:00,840.3,168.3,148.4,141.5,80,248,35,240,324.1,95,487.6,90,0,,
DCK19,b,08/133/2025,16:36:00,789.4,159.2,148.9,154.7,60,395,39,222,265.6,80,395.8,92,0,,
DCK21,nb,08/13/2025,16:51:00,550.3,126.5,142.4,143.3,72,212,24,290.5,244.8,85,395.5,93,0,,
DCK22,b,08/13/2025,16:16:00,974.5,786.2,147.3,147.7,15,85,8,126.8,123.9,3,126.8,100,1,18:48:15,self ignited during ignition process after two minutes preheating
DCK23,nb,08/13/2025,18:03:00,1025.7,109.5,150.6,139,65,408,28,365.4,282.1,95,487.9,101,0,,
DCK24,nb,08/13/2025,16:23:00,694.3,169.4,153.7,151.4,80,295,333,387.9,273.8,99,522.9,81,0,,
