sample_id,spcode,species
DCK01,JUPI,Juniperus pinchotii
DCK02,JUPI,Juniperus pinchotii
DCK03,JUPI,Juniperus pinchotii
DCK04,JUPI,Juniperus pinchotii
DCK05,JUPI,Juniperus pinchotii
DCK06,JUPI,Juniperus pinchotii
DCK07,JUPI,Juniperus pinchotii
DCK08,JUPI,Juniperus pinchotii
DCK09,JUPI,Juniperus pinchotii
DCK10,JUPI,Juniperus pinchotii
DCK11,JUPI,Juniperus pinchotii
DCK12,JUPI,Juniperus pinchotii
DCK13,JUPI,Juniperus pinchotii
DCK14,JUPI,Juniperus pinchotii
DCK15,JUPI,Juniperus pinchotii
DCK16,JUPI,Juniperus pinchotii
DCK17,JUPI,Juniperus pinchotii
DCK18,JUPI,Juniperus pinchotii
DCK19,JUPI,Juniperus pinchotii
DCK20,JUPI,Juniperus pinchotii
DCK21,JUPI,Juniperus pinchotii
DCK22,JUPI,Juniperus pinchotii
DCK23,JUPI,Juniperus pinchotii
DCK24,JUPI,Juniperus pinchotii
DCK25,JUPI,Juniperus pinchotii
DCK26,JUPI,Juniperus pinchotii
DCK27,JUPI,Juniperus pinchotii
DCK28,JUPI,Juniperus pinchotii
DCK29,JUPI,Juniperus pinchotii
DCK30,JUPI,Juniperus pinchotii
DCK31,JUPI,Juniperus pinchotii
DCK32,JUPI,Juniperus pinchotii
DCK33,JUPI,Juniperus pinchotii
DCK34,JUPI,Juniperus pinchotii
DCK35,JUPI,Juniperus pinchotii
DCK36,JUPI,Juniperus pinchotii
DCK37,JUPI,Juniperus pinchotii
DCK38,JUPI,Juniperus pinchotii
DCK39,JUPI,Juniperus pinchotii
DCK40,JUPI,Juniperus pinchotii
DCK41,JUPI,Juniperus pinchotii
DCK42,JUPI,Juniperus pinchotii
DCK43,JUPI,Juniperus pinchotii
DCK44,JUPI,Juniperus pinchotii
DCK45,JUPI,Juniperus pinchotii
DCK46,JUPI,Juniperus pinchotii
DCK47,JUPI,Juniperus pinchotii
DCK48,JUPI,Juniperus pinchotii
DCK49,JUPI,Juniperus pinchotii
DCK50,JUPI,Juniperus pinchotii
DCK51,JUPI,Juniperus pinchotii
DCK52,JUPI,Juniperus pinchotii
DCK53,JUPI,Juniperus pinchotii
DCK54,JUPI,Juniperus pinchotii
DCK55,JUPI,Juniperus pinchotii
DCK56,JUPI,Juniperus pinchotii
DCK57,JUPI,Juniperus pinchotii
DCK58,JUPI,Juniperus pinchotii
DCK59,JUPI,Juniperus pinchotii
DCK60,JUPI,Juniperus pinchotii
DCK61,JUPI,Juniperus pinchotii
DCK62,JUPI,Juniperus pinchotii
DCK63,JUPI,Juniperus pinchotii
DCK64,JUPI,Juniperus pinchotii
DCK65,PRGL2,Prosopis glandulosa
DCK66,PRGL2,Prosopis glandulosa
DCK67,PRGL2,Prosopis glandulosa
DCK68,PRGL2,Prosopis glandulosa
DCK69,PRGL2,Prosopis glandulosa
DCK70,PRGL2,Prosopis glandulosa
DCK71,PRGL2,Prosopis glandulosa
DCK72,PRGL2,Prosopis glandulosa
DCK73,PRGL2,Prosopis glandulosa
DCK74,PRGL2,Prosopis glandulosa
DCK75,PRGL2,Prosopis glandulosa
DCK76,PRGL2,Prosopis glandulosa
DCK77,PRGL2,Prosopis glandulosa
DCK78,PRGL2,Prosopis glandulosa
DCK79,PRGL2,Prosopis glandulosa
DCK80,PRGL2,Prosopis glandulosa
DCK81,PRGL2,Prosopis glandulosa
DCK82,PRGL2,Prosopis glandulosa
DCK83,PRGL2,Prosopis glandulosa
DCK84,PRGL2,Prosopis glandulosa
DCK85,PRGL2,Prosopis glandulosa
DCK86,PRGL2,Prosopis glandulosa
DCK87,PRGL2,Prosopis glandulosa
DCK88,PRGL2,Prosopis glandulosa
DCK89,PRGL2,Prosopis glandulosa
DCK90,PRGL2,Prosopis glandulosa
DCK91,PRGL2,Prosopis glandulosa
DCK92,PRGL2,Prosopis glandulosa
DCK93,PRGL2,Prosopis glandulosa
DCK94,PRGL2,Prosopis glandulosa
DCK95,PRGL2,Prosopis glandulosa
DCK96,PRGL2,Prosopis glandulosa
DCK97,PRGL2,Prosopis glandulosa
DCK98,PRGL2,Prosopis glandulosa
DCK99,PRGL2,Prosopis glandulosa
DCK100,PRGL2,Prosopis glandulosa
DCK101,PRGL2,Prosopis glandulosa
DCK102,PRGL2,Prosopis glandulosa
DCK103,PRGL2,Prosopis glandulosa
DCK104,PRGL2,Prosopis glandulosa
DCK105,PRGL2,Prosopis glandulosa
DCK106,PRGL2,Prosopis glandulosa
DCK107,PRGL2,Prosopis glandulosa
DCK108,PRGL2,Prosopis glandulosa
DCK109,PRGL2,Prosopis glandulosa
DCK110,PRGL2,Prosopis glandulosa
DCK111,PRGL2,Prosopis glandulosa
DCK112,PRGL2,Prosopis glandulosa
DCK113,PRGL2,Prosopis glandulosa
DCK114,PRGL2,Prosopis glandulosa
DCK115,PRGL2,Prosopis glandulosa
DCK116,PRGL2,Prosopis glandulosa
DCK117,PRGL2,Prosopis glandulosa
DCK118,PRGL2,Prosopis glandulosa
DCK119,PRGL2,Prosopis glandulosa
DCK120,PRGL2,Prosopis glandulosa
DCK121,PRGL2,Prosopis glandulosa
DCK122,PRGL2,Prosopis glandulosa
DCK123,PRGL2,Prosopis glandulosa
DCK124,PRGL2,Prosopis glandulosa
DCK125,PRGL2,Prosopis glandulosa
DCK126,PRGL2,Prosopis glandulosa
DCK127,PRGL2,Prosopis glandulosa
DCK128,PRGL2,Prosopis glandulosa
DCK129,JUPI,Juniperus pinchotii
DCK130,JUPI,Juniperus pinchotii
DCK131,JUPI,Juniperus pinchotii
DCK132,JUPI,Juniperus pinchotii
DCK133,JUPI,Juniperus pinchotii
DCK134,JUPI,Juniperus pinchotii
DCK135,JUPI,Juniperus pinchotii
DCK136,JUPI,Juniperus pinchotii
DCK137,JUPI,Juniperus pinchotii
DCK138,JUPI,Juniperus pinchotii
DCK139,JUPI,Juniperus pinchotii
DCK140,JUPI,Juniperus pinchotii
DCK141,JUPI,Juniperus pinchotii
DCK142,JUPI,Juniperus pinchotii
DCK143,JUPI,Juniperus pinchotii
DCK144,JUPI,Juniperus pinchotii
DCK145,PRGL2,Prosopis glandulosa
